,Name,Firm,Price,Strength,Count,unit_price,Year,Area
1,阿托伐他汀钙片,北京嘉林药业股份有限公司,25.58,20mg,7,8.89,2015,安徽
2,阿托伐他汀钙片,辉瑞制药有限公司,62.23,10mg,10,3.558,2015,安徽
3,阿托伐他汀钙胶囊,河南天方药业股份有限公司,35.58,20mg,7,5.982857,2015,安徽
4,阿托伐他汀钙胶囊,河南天方药业股份有限公司,41.88,0.15g,12,2.666667,2015,安徽
5,厄贝沙坦分散片,济南利民制药有限责任公司,32,75mg,20,1.761,2015,安徽
6,厄贝沙坦分散片,石家庄以岭药业股份有限公司,35.22,75mg,30,1.672667,2015,安徽
7,厄贝沙坦分散片,潍坊中狮制药有限公司,50.18,75mg,14,0.69,2015,安徽
8,厄贝沙坦片,深圳市海滨制药有限公司,9.66,75mg,28,0.69,2015,安徽
9,厄贝沙坦片,浙江华海药业股份有限公司,19.32,75mg,12,0.69,2015,安徽
10,厄贝沙坦片,浙江海正药业股份有限公司,8.28,0.15g,7,1,2015,安徽
11,厄贝沙坦片,江苏恒瑞医药股份有限公司,7,0.15g,7,4.38,2015,安徽
12,厄贝沙坦片,赛诺菲（杭州）制药有限公司,30.66,0.15g,12,1.95,2015,安徽
13,厄贝沙坦胶囊,珠海润都制药股份有限公司,23.4,75mg,12,0.833333,2015,安徽
14,厄贝沙坦胶囊,浙江弘盛药业有限公司,10,75mg,12,1,2015,安徽
15,厄贝沙坦胶囊,扬子江药业集团广州海瑞药业有限公司,12,0.5mg,7,8.984286,2015,安徽
16,恩替卡韦分散片,安徽贝克生物制药有限公司,62.89,0.5mg,7,16.85714,2015,安徽
17,恩替卡韦分散片,正大天晴药业集团股份有限公司,118,1.0mg,7,24.77143,2015,安徽
18,恩替卡韦分散片,山东鲁抗医药股份有限公司,173.4,0.5mg,12,13.07,2015,安徽
19,恩替卡韦胶囊,南京正大天晴制药有限公司,156.84,0.5mg,7,12.1,2015,安徽
20,恩替卡韦胶囊,福建广生堂药业股份有限公司,84.7,0.5mg,7,16.51714,2015,安徽
21,马来酸恩替卡韦片,正大天晴药业集团股份有限公司,115.62,50mg,2,42.45,2015,安徽
22,伏立康唑片,成都华神集团股份有限公司制药厂,84.9,0.25g,8,6.90875,2015,安徽
23,克拉霉素片,上海雅培制药有限公司,55.27,0.25g,6,0.498333,2015,安徽
24,克拉霉素片,河南天方药业股份有限公司,2.99,50mg,12,0.291667,2015,安徽
25,克拉霉素片,江苏恒瑞医药股份有限公司,3.5,1mg,60,0.566,2015,安徽
26,利培酮片,浙江华海药业股份有限公司,33.96,1mg,30,0.722667,2015,安徽
27,利培酮片,齐鲁制药有限公司,21.68,2mg,20,2.2715,2015,安徽
28,利培酮片,常州四药制药有限公司,45.43,3mg,10,2.731,2015,安徽
29,利培酮片,齐鲁制药有限公司,27.31,20mg,48,0.597708,2015,安徽
30,单硝酸异山梨酯分散片,鲁南贝特制药有限公司,28.69,1ml:10mg,1,7.6,2015,安徽
31,单硝酸异山梨酯注射液,辰欣药业股份有限公司,7.6,1ml:10mg,1,7.6,2015,安徽
32,单硝酸异山梨酯注射液,青岛金峰制药有限公司,7.6,2ml:25mg,1,7.2,2015,安徽
33,单硝酸异山梨酯注射液,亚宝药业集团股份有限公司,7.2,2ml:25mg,1,10.95,2015,安徽
34,单硝酸异山梨酯注射液,华北制药股份有限公司,10.95,5ml:20mg,1,3.5,2015,安徽
35,单硝酸异山梨酯注射液,开封制药（集团）有限公司,3.5,5ml:25mg,1,25.59,2015,安徽
36,单硝酸异山梨酯注射液,鲁南贝特制药有限公司,25.59,10mg,50,0.262,2015,安徽
37,单硝酸异山梨酯片,丽珠集团丽珠制药厂,13.1,10mg,48,0.132917,2015,安徽
38,单硝酸异山梨酯片,山东力诺科峰制药有限公司,6.38,20mg,24,0.133333,2015,安徽
39,单硝酸异山梨酯片,齐鲁制药有限公司,3.2,20mg,48,0.82,2015,安徽
40,单硝酸异山梨酯片,鲁南贝特制药有限公司,39.36,20mg,48,0.126458,2015,安徽
41,单硝酸异山梨酯片,北京京丰制药有限公司,6.07,30mg,24,1.05,2015,安徽
42,单硝酸异山梨酯缓释片,齐鲁制药有限公司,25.2,40mg,24,1.308333,2015,安徽
43,单硝酸异山梨酯缓释片,齐鲁制药有限公司,31.4,40mg,24,1.870833,2015,安徽
44,单硝酸异山梨酯缓释片,鲁南贝特制药有限公司,44.9,50mg,10,1.45,2015,安徽
45,单硝酸异山梨酯缓释片,华润双鹤药业股份有限公司,14.5,60mg,10,1.645,2015,安徽
46,单硝酸异山梨酯缓释片,山德士（中国）制药有限公司,16.45,40mg,20,1.01,2015,安徽
47,单硝酸异山梨酯缓释胶囊,珠海润都制药股份有限公司,20.2,50mg,20,1.198,2015,安徽
48,单硝酸异山梨酯缓释胶囊,珠海润都制药股份有限公司,23.96,40mg,12,1.335833,2015,安徽
49,单硝酸异山梨酯缓释胶囊(Ⅰ),华润赛科药业有限责任公司,16.03,50mg,20,1.075,2015,安徽
50,单硝酸异山梨酯缓释胶囊(Ⅰ),广东健宜乐制药有限公司,21.5,40mg,20,1.25,2015,安徽
51,单硝酸异山梨酯缓释胶囊(Ⅱ),北京红林制药有限公司,25,20mg,20,0.9175,2015,安徽
52,单硝酸异山梨酯缓释胶囊(Ⅲ),上海爱的发制药有限公司,18.35,40mg,20,1.5245,2015,安徽
53,单硝酸异山梨酯缓释胶囊(Ⅲ),上海爱的发制药有限公司,30.49,60mg,20,3.5945,2015,安徽
54,单硝酸异山梨酯缓释胶囊(Ⅲ),湖北明和药业有限公司,71.89,10mg,24,0.675,2015,安徽
55,单硝酸异山梨酯胶丸,威海华新药业集团有限公司,16.2,10mg,48,0.229167,2015,安徽
56,单硝酸异山梨酯胶囊,石药集团欧意药业有限公司,11,20mg,48,0.203958,2015,安徽
57,单硝酸异山梨酯胶囊,华北制药股份有限公司,9.79,100ml:20mg:5.0g,1,12.55,2015,安徽
58,单硝酸异山梨酯葡萄糖注射液,山东齐都药业有限公司,12.55,250ml:20mg:12.5g,1,,2015,安徽
59,单硝酸异山梨酯葡萄糖注射液,安徽丰原药业股份有限公司,,0.5g,12,8.333333,2015,安徽
60,卡培他滨片,江苏恒瑞医药股份有限公司,100,0.5g,12,32.11667,2015,安徽
61,卡培他滨片,上海罗氏制药有限公司,385.4,0.15g,12,2.666667,2015,安徽
62,厄贝沙坦分散片,济南利民制药有限责任公司,32,75mg,20,1.761,2015,安徽
63,厄贝沙坦分散片,石家庄以岭药业股份有限公司,35.22,75mg,30,1.672667,2015,安徽
64,厄贝沙坦分散片,潍坊中狮制药有限公司,50.18,75mg,14,0.69,2015,安徽
65,厄贝沙坦片,深圳市海滨制药有限公司,9.66,75mg,28,0.69,2015,安徽
66,厄贝沙坦片,浙江华海药业股份有限公司,19.32,75mg,12,0.69,2015,安徽
67,厄贝沙坦片,浙江海正药业股份有限公司,8.28,0.15g,7,1,2015,安徽
68,厄贝沙坦片,江苏恒瑞医药股份有限公司,7,0.15g,7,4.38,2015,安徽
69,厄贝沙坦片,赛诺菲（杭州）制药有限公司,30.66,0.15g,12,1.95,2015,安徽
70,厄贝沙坦胶囊,珠海润都制药股份有限公司,23.4,75mg,12,0.833333,2015,安徽
71,厄贝沙坦胶囊,浙江弘盛药业有限公司,10,75mg,12,1,2015,安徽
72,厄贝沙坦胶囊,扬子江药业集团广州海瑞药业有限公司,12,2ml:500ug,1,4.45,2015,安徽
73,吸入用异丙托溴铵溶液,德国Boehringer Ingelheim Pharma GmbH &Co.KG,4.45,5mg/2.5ml,1,5.03,2015,安徽
74,吸入用硫酸沙丁胺醇溶液,GlaxoSmithKline Australia Pty Ltd,5.03,7.2mg,10,0.755,2015,安徽
75,硫酸沙丁胺醇缓释片,天津力生制药股份有限公司,7.55,4mg,20,0.783,2015,安徽
76,硫酸沙丁胺醇缓释胶囊,上海爱的发制药有限公司,15.66,20ml:0.1g(0.5%),1,52,2015,安徽
77,硫酸沙丁胺醇雾化吸入溶液,Glaxo Wellcome Operations,52,12mg,7,4.017143,2015,安徽
78,坎地沙坦酯片,重庆圣华曦药业股份有限公司,28.12,4mg,14,1.382143,2015,安徽
79,坎地沙坦酯片,福州屏山制药有限公司,19.35,4mg,14,1.47,2015,安徽
80,坎地沙坦酯片,重庆圣华曦药业股份有限公司,20.58,4mg,7,1.47,2015,安徽
81,坎地沙坦酯片,广州白云山天心制药股份有限公司,10.29,8mg,12,1.916667,2015,安徽
82,坎地沙坦酯片,迪沙药业集团有限公司,23,8mg,7,4.92,2015,安徽
83,坎地沙坦酯片,天津武田药品有限公司,34.44,10ml:0.1g,1,9.39,2015,安徽
84,多索茶碱注射液,黑龙江福和华星制药集团股份有限公司,9.39,10ml:0.1g,1,9.05,2015,安徽
85,多索茶碱注射液,宁波天衡药业股份有限公司,9.05,10ml:0.2g,1,13.97,2015,安徽
86,多索茶碱注射液,黑龙江福和华星制药集团股份有限公司,13.97,20ml:0.3g,1,19.05,2015,安徽
87,多索茶碱注射液,黑龙江福和华星制药集团股份有限公司,19.05,0.5ml:20mg,1,200.97,2015,安徽
88,多西他赛注射液,江苏奥赛康药业股份有限公司,200.97,0.5ml:20mg,1,323,2015,安徽
89,多西他赛注射液,江苏恒瑞医药股份有限公司,323,0.5ml:20mg,1,200.97,2015,安徽
90,多西他赛注射液,齐鲁制药有限公司,200.97,1.5ml:60mg,1,990,2015,安徽
91,多西他赛注射液,江苏恒瑞医药股份有限公司,990,1ml:20mg,1,200.97,2015,安徽
92,多西他赛注射液,江苏奥赛康药业股份有限公司,200.97,1ml:40mg,1,331.8,2015,安徽
93,多西他赛注射液,江苏奥赛康药业股份有限公司,331.8,1ml:40mg,1,341.65,2015,安徽
94,多西他赛注射液,齐鲁制药有限公司,341.65,2ml:80mg,1,929,2015,安徽
95,多西他赛注射液,辰欣药业股份有限公司,929,0.25g,4,5.005,2015,安徽
96,头孢丙烯分散片,上海美优制药有限公司,20.02,0.25g,6,5.005,2015,安徽
97,头孢丙烯分散片,广州白云山制药股份有限公司广州白云山制药总厂,30.03,0.25g,8,3.8,2015,安徽
98,头孢丙烯片,南京亿华药业有限公司,30.4,0.25g,10,3.211,2015,安徽
99,头孢丙烯片,扬子江药业集团有限公司,32.11,0.25g,6,2.633333,2015,安徽
100,头孢丙烯片,苏州东瑞制药有限公司,15.8,0.5g,6,6.56,2015,安徽
101,头孢丙烯片,汕头金石制药总厂,39.36,0.25g,12,1.5,2015,安徽
102,头孢克洛胶囊,深圳立健药业有限公司,18,0.25g,6,0.6,2015,安徽
103,头孢克洛胶囊,海口市制药厂有限公司,3.6,0.5g,6,3.166667,2015,安徽
104,头孢克洛胶囊,苏州中化药品工业有限公司,19,0.125g,24,0.64,2015,安徽
105,头孢呋辛酯片,华北制药河北华民药业有限责任公司,15.36,0.125g,12,1.595833,2015,安徽
106,头孢呋辛酯片,深圳致君制药有限公司,19.15,0.125g,24,0.495833,2015,安徽
107,头孢呋辛酯片,成都倍特药业有限公司,11.9,0.25g,12,0.783333,2015,安徽
108,头孢呋辛酯片,广州白云山天心制药股份有限公司,9.4,0.25g,12,2.7125,2015,安徽
109,头孢呋辛酯片,深圳致君制药有限公司,32.55,0.5g,6,4.833333,2015,安徽
110,头孢呋辛酯片,苏州中化药品工业有限公司,29,0.25g,10,0.5,2015,安徽
111,头孢氨苄片,清远华能制药有限公司,5,0.25g,20,0.775,2015,安徽
112,头孢氨苄缓释片,江苏豪森药业股份有限公司,15.5,100ml:0.1g,1,433,2015,安徽
113,奥沙利铂注射液,江苏恒瑞医药股份有限公司,433,20ml:40mg,1,233.65,2015,安徽
114,奥沙利铂注射液,深圳海王药业有限公司,233.65,10mg,5,5.96,2015,安徽
115,孟鲁司特钠片,四川大冢制药有限公司,29.8,10mg,6,6.256667,2015,安徽
116,孟鲁司特钠片,鲁南贝特制药有限公司,37.54,10mg,5,7.38,2015,安徽
117,孟鲁司特钠片,杭州默沙东制药有限公司,36.9,0.5g:4mg,7,6.782857,2015,安徽
118,孟鲁司特钠颗粒,杭州默沙东制药有限公司,47.48,0.1g,30,1.705667,2015,安徽
119,富马酸喹硫平片,湖南洞庭药业股份有限公司,51.17,0.1g,12,0.306667,2015,安徽
120,对乙酰氨基酚分散片,山东新华制药股份有限公司,3.68,160mg,15,0.566667,2015,安徽
121,对乙酰氨基酚咀嚼片,威特（湖南）药业有限公司,8.5,1.01g:0.3g,10,1.777,2015,安徽
122,对乙酰氨基酚干混悬剂,青岛国海生物制药有限公司,17.77,6.5g:0.5g,6,2.7,2015,安徽
123,对乙酰氨基酚干混悬剂,广州白云山天心制药股份有限公司,16.2,100ml:0.1g:0.9g,1,0.82,2015,安徽
124,乳酸左氧氟沙星氯化钠注射液,辰欣药业股份有限公司,0.82,100ml:0.1g:0.9g,1,0.76,2015,安徽
125,乳酸左氧氟沙星氯化钠注射液,开开援生制药股份有限公司,0.76,100ml:0.2g:0.9g,1,0.82,2015,安徽
126,乳酸左氧氟沙星氯化钠注射液,蚌埠丰原涂山制药有限公司,0.82,100ml:0.2g:0.9g,1,0.82,2015,安徽
127,乳酸左氧氟沙星氯化钠注射液,湖南科伦制药有限公司,0.82,100ml:0.3g:0.9g,1,1.45,2015,安徽
128,乳酸左氧氟沙星氯化钠注射液,辰欣药业股份有限公司,1.45,100ml:0.5g:0.9g,1,10.35,2015,安徽
129,乳酸左氧氟沙星氯化钠注射液,石家庄四药有限公司,10.35,250ml:0.5g:2.25g,1,48.28,2015,安徽
130,乳酸左氧氟沙星氯化钠注射液,浙江医药股份有限公司新昌制药厂,48.28,100ml:0.2g:0.9g,1,2.38,2015,安徽
131,乳酸左氧氟沙星氯化钠注射液,辰欣药业股份有限公司,2.38,100ml:0.2g:0.9g,1,1.35,2015,安徽
132,乳酸左氧氟沙星氯化钠注射液,青州尧王制药有限公司,1.35,100ml:0.3g:0.9g,1,2.65,2015,安徽
133,乳酸左氧氟沙星氯化钠注射液,辰欣药业股份有限公司,2.65,100ml:0.3g:0.9g,1,1.48,2015,安徽
134,乳酸左氧氟沙星氯化钠注射液,青州尧王制药有限公司,1.48,100ml:0.5g:0.9g,1,9.8,2015,安徽
135,乳酸左氧氟沙星氯化钠注射液,河北天成药业股份有限公司,9.8,100ml:0.1g:0.9g,1,16.4,2015,安徽
136,乳酸左氧氟沙星氯化钠注射液,浙江医药股份有限公司新昌制药厂,16.4,100ml:0.2g:0.9g,1,3.79,2015,安徽
137,乳酸左氧氟沙星氯化钠注射液,辰欣药业股份有限公司,3.79,100ml:0.2g:0.9g,1,26.9,2015,安徽
138,乳酸左氧氟沙星氯化钠注射液,浙江医药股份有限公司新昌制药厂,26.9,100ml:0.4g:0.9g,1,7.49,2015,安徽
139,乳酸左氧氟沙星氯化钠注射液,辽宁海神联盛制药有限公司,7.49,100ml:0.5g:0.9g,1,11.8,2015,安徽
140,乳酸左氧氟沙星氯化钠注射液,河北天成药业股份有限公司,11.8,100ml:0.5g:0.9g,1,17.8,2015,安徽
141,乳酸左氧氟沙星氯化钠注射液,安徽双鹤药业有限责任公司,17.8,250ml:0.5g:2.25g,1,51.8,2015,安徽
142,乳酸左氧氟沙星氯化钠注射液,浙江医药股份有限公司新昌制药厂,51.8,250ml:0.5g:2.25g,1,14.5,2015,安徽
143,乳酸左氧氟沙星氯化钠注射液,浙江莎普爱思药业股份有限公司,14.5,100ml:0.2g:0.9g,1,3.69,2015,安徽
144,乳酸左氧氟沙星氯化钠注射液,湖南康源制药有限公司,3.69,100ml:0.2g:0.9g,1,12.05,2015,安徽
145,乳酸左氧氟沙星氯化钠注射液,石家庄四药有限公司,12.05,100ml:0.3g:0.9g,1,5.03,2015,安徽
146,乳酸左氧氟沙星氯化钠注射液,湖南康源制药有限公司,5.03,100ml:0.2g,1,1.3,2015,安徽
147,乳酸左氧氟沙星注射液,上海华源安徽锦辉制药有限公司,1.3,2ml:0.2g,1,2.85,2015,安徽
148,乳酸左氧氟沙星注射液,四川美大康佳乐药业有限公司,2.85,100ml:0.2g,1,2.27,2015,安徽
149,乳酸左氧氟沙星注射液,西安京西双鹤药业有限公司,2.27,100ml:0.2g,1,3.85,2015,安徽
150,乳酸左氧氟沙星注射液,佛山双鹤药业有限责任公司,3.85,0.5g,1,10.6,2015,安徽
151,注射用乳酸左氧氟沙星,江苏奥赛康药业股份有限公司,10.6,0.5mg,7,8.984286,2015,安徽
152,恩替卡韦分散片,安徽贝克生物制药有限公司,62.89,0.5mg,7,16.85714,2015,安徽
153,恩替卡韦分散片,正大天晴药业集团股份有限公司,118,1.0mg,7,24.77143,2015,安徽
154,恩替卡韦分散片,山东鲁抗医药股份有限公司,173.4,0.5mg,12,13.07,2015,安徽
155,恩替卡韦胶囊,南京正大天晴制药有限公司,156.84,0.5mg,7,12.1,2015,安徽
156,恩替卡韦胶囊,福建广生堂药业股份有限公司,84.7,0.5mg,7,16.51714,2015,安徽
157,马来酸恩替卡韦片,正大天晴药业集团股份有限公司,115.62,20mg,42,14.79643,2015,安徽
158,替吉奥胶囊,齐鲁制药有限公司,621.45,20mg,42,39.9,2015,安徽
159,替吉奥胶囊,山东新时代药业有限公司,1675.8,25mg,42,17.55286,2015,安徽
160,替吉奥胶囊,齐鲁制药有限公司,737.22,25mg,36,47.71944,2015,安徽
161,替吉奥胶囊,山东新时代药业有限公司,1717.9,80mg,7,5.341429,2015,安徽
162,替米沙坦片,上海勃林格殷格翰药业有限公司,37.39,2.5mg,10,12.2,2015,安徽
163,来曲唑片,浙江海正药业股份有限公司,122,2.5mg,10,12.2,2015,安徽
164,来曲唑片,江苏恒瑞医药股份有限公司,122,5mg,20,1.279,2015,安徽
165,枸橼酸莫沙必利分散片,成都康弘药业集团股份有限公司,25.58,5mg,24,0.529167,2015,安徽
166,枸橼酸莫沙必利片,亚宝药业集团股份有限公司,12.7,5mg,36,0.841944,2015,安徽
167,枸橼酸莫沙必利片,鲁南贝特制药有限公司,30.31,5mg,24,0.529167,2015,安徽
168,枸橼酸莫沙必利片,江苏豪森药业股份有限公司,12.7,5mg,40,0.475,2015,安徽
169,格列吡嗪分散片,华夏药业集团有限公司,19,5mg,21,1.25,2015,安徽
170,格列吡嗪控释片,北京红林制药有限公司,26.25,5mg,24,1.37,2015,安徽
171,格列吡嗪控释片,淄博万杰制药有限公司,32.88,1mg,12,1.014167,2015,安徽
172,格列美脲分散片,石药集团欧意药业有限公司,12.17,2mg,12,1.725,2015,安徽
173,格列美脲分散片,石药集团欧意药业有限公司,20.7,60mg,30,2.795,2015,安徽
174,格列齐特缓释片,施维雅（天津）制药有限公司,83.85,100ml:0.2g:0.9g,1,1.35,2015,安徽
175,氟康唑氯化钠注射液,河南科伦药业有限公司,1.35,100ml:0.2g:0.9g,1,1.2,2015,安徽
176,氟康唑氯化钠注射液,蚌埠丰原涂山制药有限公司,1.2,100ml:0.2g:0.9g,1,1.9,2015,安徽
177,氟康唑氯化钠注射液,浙江天瑞药业有限公司,1.9,100ml:0.2g:0.9g,1,3.25,2015,安徽
178,氟康唑氯化钠注射液,浙江天瑞药业有限公司,3.25,100ml:0.2g:0.9g,1,6.9,2015,安徽
179,氟康唑氯化钠注射液,安徽双鹤药业有限责任公司,6.9,100ml:0.2g:0.9g,1,5.49,2015,安徽
180,氟康唑氯化钠注射液,湖南康源制药有限公司,5.49,100ml:0.2g:0.9g,1,9.97,2015,安徽
181,氟康唑氯化钠注射液,辰欣药业股份有限公司,9.97,0.15g,3,1.063333,2015,安徽
182,氟康唑胶囊,辅仁药业集团有限公司,3.19,0.15g,6,1.166667,2015,安徽
183,氟康唑胶囊,海南葫芦娃制药有限公司,7,0.1g,6,0.76,2015,安徽
184,氟康唑胶囊,辅仁药业集团有限公司,4.56,0.1g,12,0.76,2015,安徽
185,氟康唑胶囊,山东绿因药业有限公司,9.12,50mg,6,0.408333,2015,安徽
186,氟康唑胶囊,齐鲁制药有限公司,2.45,50mg,6,0.185,2015,安徽
187,氟康唑胶囊,宜昌长江药业有限公司,1.11,0.15g,6,4.875,2015,安徽
188,氟康唑片,石家庄四药有限公司,29.25,50mg,3,0.563333,2015,安徽
189,氟康唑片,四川科伦药业股份有限公司,1.69,0.1g,7,4.482857,2015,安徽
190,氯沙坦钾片,浙江华海药业股份有限公司,31.38,50mg,7,2.571429,2015,安徽
191,氯沙坦钾片,山德士（中国）制药有限公司,18,50mg,14,2.571429,2015,安徽
192,氯沙坦钾片,浙江华海药业股份有限公司,36,10mg,6,3.166667,2015,安徽
193,氯雷他定片,上海先灵葆雅制药有限公司,19,30mg,1,35.4,2015,安徽
194,注射用兰索拉唑,上海新亚药业有限公司,35.4,30mg,1,51,2015,安徽
195,注射用兰索拉唑,江苏奥赛康药业股份有限公司,51,30mg,1,35,2015,安徽
196,注射用兰索拉唑,南京海辰药业股份有限公司,35,0.75g,1,30.34,2015,安徽
197,注射用头孢他啶,海南海灵化学制药有限公司,30.34,1.5g,1,51.58,2015,安徽
198,注射用头孢他啶,海南海灵化学制药有限公司,51.58,2.0g,1,64.21,2015,安徽
199,注射用头孢他啶,海南海灵化学制药有限公司,64.21,2.0g,1,4.18,2015,安徽
200,注射用头孢他啶,悦康药业集团有限公司,4.18,0.5g,1,1.13,2015,安徽
201,注射用头孢他啶(含碳酸钠),山东罗欣药业股份有限公司,1.13,0.75g,1,3.17,2015,安徽
202,注射用头孢他啶(含碳酸钠),开封豫港制药有限公司,3.17,1.0g,1,2,2015,安徽
203,注射用头孢他啶(含碳酸钠),华北制药河北华民药业有限责任公司,2,1.5g,1,3.2,2015,安徽
204,注射用头孢他啶(含碳酸钠),瑞阳制药有限公司,3.2,3.0g,1,4.45,2015,安徽
205,注射用头孢他啶(含碳酸钠),山东罗欣药业股份有限公司,4.45,1.0g,1,45.34,2015,安徽
206,注射用头孢他啶(含碳酸钠),葛兰素史克制药（苏州）有限公司,45.34,0.25g,1,0.47,2015,安徽
207,注射用头孢呋辛钠,山东罗欣药业股份有限公司,0.47,0.25g,1,4.64,2015,安徽
208,注射用头孢呋辛钠,广州白云山天心制药股份有限公司,4.64,0.5g,1,0.84,2015,安徽
209,注射用头孢呋辛钠,悦康药业集团有限公司,0.84,0.75g,1,0.93,2015,安徽
210,注射用头孢呋辛钠,山东罗欣药业股份有限公司,0.93,0.75g,1,23.6,2015,安徽
211,注射用头孢呋辛钠,GLAXOSMITHKLINE MANUFACTURING S.p.A.,23.6,1.0g,1,1.43,2015,安徽
212,注射用头孢呋辛钠,悦康药业集团有限公司,1.43,1.25g,1,16.7,2015,安徽
213,注射用头孢呋辛钠,广州白云山制药股份有限公司广州白云山制药总厂,16.7,1.25g,1,16.7,2015,安徽
214,注射用头孢呋辛钠,海南灵康制药有限公司,16.7,1.5g,1,1.87,2015,安徽
215,注射用头孢呋辛钠,山东罗欣药业股份有限公司,1.87,1.75g,1,13.9,2015,安徽
216,注射用头孢呋辛钠,国药集团威奇达药业有限公司,13.9,2.0g,1,2.43,2015,安徽
217,注射用头孢呋辛钠,悦康药业集团有限公司,2.43,2.5g,1,7.8,2015,安徽
218,注射用头孢呋辛钠,苏州中化药品工业有限公司,7.8,3.0g,1,9.38,2015,安徽
219,注射用头孢呋辛钠,深圳致君制药有限公司,9.38,1.5g,1,43.61,2015,安徽
220,注射用头孢呋辛钠,意大利依赛特大药厂（EssetiFarmaceutici s.r.l.）,43.61,1.0g,1,1.15,2015,安徽
221,注射用头孢唑林钠,华北制药河北华民药业有限责任公司,1.15,2.0g,1,2.51,2015,安徽
222,注射用头孢唑林钠,哈药集团制药总厂,2.51,0.25g,1,0.6,2015,安徽
223,注射用头孢曲松钠,山东鲁抗医药股份有限公司,0.6,0.25g,1,0.63,2015,安徽
224,注射用头孢曲松钠,山东罗欣药业股份有限公司,0.63,0.25g,1,20,2015,安徽
225,注射用头孢曲松钠,上海罗氏制药有限公司,20,0.5g,1,0.69,2015,安徽
226,注射用头孢曲松钠,哈药集团制药总厂,0.69,0.75g,1,2.33,2015,安徽
227,注射用头孢曲松钠,开封豫港制药有限公司,2.33,1.0g,1,0.92,2015,安徽
228,注射用头孢曲松钠,湖南科伦制药有限公司,0.92,1.5g,1,1.3,2015,安徽
229,注射用头孢曲松钠,悦康药业集团有限公司,1.3,2.0g,1,1.6,2015,安徽
230,注射用头孢曲松钠,悦康药业集团有限公司,1.6,2.5g,1,3.67,2015,安徽
231,注射用头孢曲松钠,山东罗欣药业股份有限公司,3.67,3.0g,1,4.22,2015,安徽
232,注射用头孢曲松钠,山东罗欣药业股份有限公司,4.22,4.0g,1,8.39,2015,安徽
233,注射用头孢曲松钠,开封豫港制药有限公司,8.39,0.5g,1,3.35,2015,安徽
234,注射用头孢曲松钠,华北制药河北华民药业有限责任公司,3.35,3.0g,1,4.2,2015,安徽
235,注射用头孢曲松钠,海南葫芦娃制药有限公司,4.2,1.0g,1,1.15,2015,安徽
236,注射用头孢唑林钠,华北制药河北华民药业有限责任公司,1.15,2.0g,1,2.51,2015,安徽
237,注射用头孢唑林钠,哈药集团制药总厂,2.51,0.25g,1,0.6,2015,安徽
238,注射用头孢曲松钠,山东鲁抗医药股份有限公司,0.6,0.25g,1,0.63,2015,安徽
239,注射用头孢曲松钠,山东罗欣药业股份有限公司,0.63,0.25g,1,20,2015,安徽
240,注射用头孢曲松钠,上海罗氏制药有限公司,20,0.5g,1,0.69,2015,安徽
241,注射用头孢曲松钠,哈药集团制药总厂,0.69,0.75g,1,2.33,2015,安徽
242,注射用头孢曲松钠,开封豫港制药有限公司,2.33,1.0g,1,0.92,2015,安徽
243,注射用头孢曲松钠,湖南科伦制药有限公司,0.92,1.5g,1,1.3,2015,安徽
244,注射用头孢曲松钠,悦康药业集团有限公司,1.3,2.0g,1,1.6,2015,安徽
245,注射用头孢曲松钠,悦康药业集团有限公司,1.6,2.5g,1,3.67,2015,安徽
246,注射用头孢曲松钠,山东罗欣药业股份有限公司,3.67,3.0g,1,4.22,2015,安徽
247,注射用头孢曲松钠,山东罗欣药业股份有限公司,4.22,4.0g,1,8.39,2015,安徽
248,注射用头孢曲松钠,开封豫港制药有限公司,8.39,0.5g,1,3.35,2015,安徽
249,注射用头孢曲松钠,华北制药河北华民药业有限责任公司,3.35,3.0g,1,4.2,2015,安徽
250,注射用头孢曲松钠,海南葫芦娃制药有限公司,4.2,0.1g,1,187.85,2015,安徽
251,注射用奥沙利铂,江苏奥赛康药业股份有限公司,187.85,0.1g,1,379,2015,安徽
252,注射用奥沙利铂,江苏恒瑞医药股份有限公司,379,0.1g,1,177.77,2015,安徽
253,注射用奥沙利铂,齐鲁制药（海南）有限公司,177.77,50mg,1,55,2015,安徽
254,注射用奥沙利铂,山东新时代药业有限公司,55,50mg,1,222.94,2015,安徽
255,注射用奥沙利铂,江苏恒瑞医药股份有限公司,222.94,0.125g,1,3.42,2015,安徽
256,注射用更昔洛韦,海口奇力制药股份有限公司,3.42,0.25g,1,1.58,2015,安徽
257,注射用更昔洛韦,悦康药业集团有限公司,1.58,0.5g,1,32.89,2015,安徽
258,注射用更昔洛韦,山东北大高科华泰制药有限公司,32.89,50mg,1,7.28,2015,安徽
259,注射用更昔洛韦,湖北科益药业股份有限公司,7.28,50mg,1,1.7,2015,安徽
260,注射用更昔洛韦,海口奇力制药股份有限公司,1.7,50mg,1,5.4,2015,安徽
261,注射用更昔洛韦,山东罗欣药业股份有限公司,5.4,40mg,1,7.2,2015,安徽
262,注射用泮托拉唑钠,哈尔滨誉衡药业股份有限公司,7.2,40mg,1,7.2,2015,安徽
263,注射用泮托拉唑钠,华润双鹤药业股份有限公司,7.2,40mg,1,16.98,2015,安徽
264,注射用泮托拉唑钠,无锡凯夫制药有限公司,16.98,60mg,1,37.6,2015,安徽
